,true,1,2,3,4,5,min3,min4,min5,fmacro_mean_over_folds,fmacro_std_over_folds,boot_fmac_mean_over_folds,boot_mean_fmacs_of_folds,boot_quantile_lower_fmac_of_folds,boot_quantile_upper_fmac_of_folds,boot_fmac_std_of_folds,n_true_classes_in_folds,n_unique_classes_in_folds
CW_a_mor_aa_LOGR,100.0,54.287416157735635,53.72547492800801,53.346679279837105,53.4861942110731,53.774198211525494,54.154771188912484,52.94744797148486,50.7929891259686,53.72399255763587,0.3601674338016352,53.64035725593567,"[54.198312759399414, 53.63365411758423, 53.28651666641235, 53.409457206726074, 53.673845529556274]","[52.56524658203125, 52.02734375, 51.75521469116211, 51.657283782958984, 51.92645263671875]","[55.606597900390625, 55.219329833984375, 54.8835334777832, 55.00567626953125, 55.38563537597656]","[0.7947833277285099, 0.8142275735735893, 0.8160781115293503, 0.8356811478734016, 0.880923680961132]",16.0,"[16.0, 16.0, 16.0, 16.0, 16.0]"
CW_a_mor_ba_CNN,100.0,58.90325302045121,59.16040708097944,58.45732332724863,60.725752644699995,59.63623124205108,59.993145282545335,58.38131550752374,54.629274125242425,59.37659346308608,0.8665286467687816,59.29411768913269,"[58.874619007110596, 59.09380912780762, 58.3141028881073, 60.64068675041199, 59.54737067222595]","[57.16313171386719, 57.48900604248047, 56.585384368896484, 58.79842758178711, 57.73980712890625]","[60.78461837768555, 60.828208923339844, 59.988182067871094, 62.627349853515625, 61.49610137939453]","[0.9080655872821808, 0.8571382611989975, 0.9021101519465446, 0.9972565807402134, 0.9569551795721054]",16.0,"[16.0, 16.0, 16.0, 16.0, 16.0]"
CW_a_mor_bb_MTCNN,100.0,59.19192476814873,59.0768271386867,57.774164320202246,59.15666307630669,58.21341363080263,59.45113760913192,58.14547645303203,54.230118179164876,58.6825985868294,0.64902884951373,58.60968589782715,"[59.06914472579956, 58.993107080459595, 57.67903923988342, 59.15796160697937, 58.149176836013794]","[57.298152923583984, 57.31703567504883, 55.98944854736328, 57.59904861450195, 56.46647262573242]","[61.04800033569336, 60.593753814697266, 59.44886779785156, 61.1302604675293, 59.765140533447266]","[0.9796760976314545, 0.8485264144837856, 0.8787075057625771, 0.9469526819884777, 0.8245503529906273]",16.0,"[16.0, 15.0, 16.0, 16.0, 16.0]"
CW_a_mor_ca_HISAN,100.0,60.003617793518394,59.668129596376,60.736773324698525,56.46226247813293,60.99263863286806,61.91724354613051,59.985038902906275,53.50404720730615,59.57268436511879,1.8194031270747462,59.49787974357605,"[59.92950797080994, 59.59327816963196, 60.6017529964447, 56.418246030807495, 60.94661355018616]","[58.16039276123047, 57.82206726074219, 58.8508415222168, 54.95729446411133, 59.16741943359375]","[61.718814849853516, 61.56956481933594, 62.282562255859375, 58.09845733642578, 62.63652038574219]","[0.9319248609244823, 0.929667241871357, 0.9134811349213123, 0.8234909735620022, 0.8773236535489559]",16.0,"[16.0, 16.0, 15.0, 16.0, 16.0]"
CW_a_mor_cb_MTHISAN,100.0,57.55803351130274,59.896320505727964,58.70695647951606,57.58844690739111,60.2560608193975,61.160105038289316,58.93959269181113,52.37094209931412,58.80116364466708,1.2590694721381332,58.714537620544434,"[57.515907287597656, 59.741950035095215, 58.632951974868774, 57.499223947525024, 60.1826548576355]","[55.86454391479492, 57.792091369628906, 57.014801025390625, 55.9211311340332, 58.501338958740234]","[59.16812515258789, 61.75846862792969, 59.92023849487305, 58.850894927978516, 61.955589294433594]","[0.8572062477469444, 0.9608306922018528, 0.7931755855679512, 0.7707280572503805, 0.8881286717951298]",16.0,"[16.0, 16.0, 16.0, 16.0, 16.0]"
CW_a_mor_da_BERT,100.0,62.50520375804528,61.98363325810913,62.18119501334674,62.31218474289546,61.678982348388814,63.84559233313865,62.74509490262825,59.70305955335883,62.13223982415709,0.31678270593661895,62.050427198410034,"[62.46076226234436, 61.859941482543945, 62.072205543518066, 62.25389242172241, 61.60533428192139]","[60.83623123168945, 59.764583587646484, 60.35819625854492, 60.75273895263672, 59.97993469238281]","[64.12187194824219, 63.62764358520508, 63.81770324707031, 63.99536895751953, 63.13702392578125]","[0.8591233752667904, 0.9219597093760967, 0.894414633512497, 0.8485656231641769, 0.7989406585693359]",16.0,"[16.0, 16.0, 16.0, 16.0, 16.0]"
CW_a_mor_db_MTBERT,100.0,57.302904213002456,60.91527686776095,62.10877239787751,61.95743242587912,61.59415958131233,62.30264851519857,61.23817495321351,56.95752355870749,60.77570909716648,1.9951968518411318,60.677080154418945,"[57.22959637641907, 60.740816593170166, 61.9799017906189, 61.88235282897949, 61.552733182907104]","[55.85901641845703, 59.1898307800293, 60.59280776977539, 60.63228225708008, 60.073280334472656]","[58.505672454833984, 62.206298828125, 63.365509033203125, 63.31821060180664, 63.09037780761719]","[0.6676157005131245, 0.7618502713739872, 0.7251935545355082, 0.6905852351337671, 0.7695694454014301]",16.0,"[14.0, 16.0, 15.0, 14.0, 15.0]"
CW_b_his_aa_LOGR,100.0,59.56336918064382,59.20409975898585,59.09168272249746,59.50729708309175,58.50830040216965,59.50245408541976,58.85677123890909,56.982048743183796,59.174949829477704,0.422353192769525,59.08723831176758,"[59.483617544174194, 59.12107229232788, 58.99914503097534, 59.437161684036255, 58.39519500732422]","[57.85566711425781, 57.380104064941406, 57.29098892211914, 57.624332427978516, 56.61873245239258]","[61.15244674682617, 61.017417907714844, 60.70458221435547, 61.20690155029297, 60.243648529052734]","[0.8951429277658463, 0.9055144153535366, 0.9083318524062634, 0.9241673164069653, 0.9426344186067581]",13.0,"[13.0, 13.0, 13.0, 13.0, 13.0]"
CW_b_his_ba_CNN,100.0,64.49905638886622,63.52522712009294,64.11923093905544,65.82793449450867,64.66574549198523,66.64340894591815,65.05841897670243,60.21001959828987,64.5274388869017,0.8488647216759964,64.45392847061157,"[64.52124118804932, 63.41431736946106, 64.04077410697937, 65.74029326438904, 64.55301642417908]","[62.889278411865234, 61.34501647949219, 62.1126708984375, 63.80116271972656, 63.02241134643555]","[66.22860717773438, 65.4487533569336, 65.92081451416016, 67.88189697265625, 66.12548828125]","[0.8744222111999989, 1.0625352151691914, 0.9760189801454544, 0.9919817559421062, 0.8335239253938198]",13.0,"[13.0, 13.0, 13.0, 13.0, 13.0]"
CW_b_his_bb_MTCNN,100.0,64.12926284553447,65.36113352169231,65.87681778122827,65.9102999608639,64.32517904609475,67.2001788823054,65.4117819981241,60.85515255462117,65.12053863108274,0.8468753693425891,65.03488063812256,"[64.04189467430115, 65.26573300361633, 65.75369238853455, 65.84635972976685, 64.26672339439392]","[62.33940887451172, 63.591575622558594, 63.63890838623047, 64.32232666015625, 62.16234588623047]","[65.69940948486328, 66.9613265991211, 67.46233367919922, 67.45195007324219, 66.30329132080078]","[0.9209785610437393, 0.8638207800686359, 1.035214215517044, 0.8513999171555042, 1.1033417657017708]",13.0,"[13.0, 12.0, 13.0, 13.0, 13.0]"
